PADR«O ABERTURA MINI D‡LAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOT PARCIAL;CUSTO B3;DARF;RETIDO 1%;TOTAL
 AGOSTO / WDOU26 ;;;;;;;;;;;;;;;;;;;;;TOTAL;;;CONTRATOS;;;NUMERO DE ;-R$ 240,00 ;-R$ 19,20 ; R$ -   ; R$ -   ;-R$ 259,20 
PREG‚ES;;DIA;;GAIN/ LOSS;;START;;TIPO;;C / V;;TEMPO;GAIN;STOP;6 PTS;10 PTS;;GAIN;LOSS;;GAIN;LOSS;;GAIN;LOSS;PONTOS;CONTRATO DIµRIO;TOT PARCIAL;CUSTO B3;DARF;RETIDO 1%;TOTAL
18;;26;;GAIN;;2¶  LINHA CANAL DA M÷NIMA;;CANAL DO MEIO;;COMPRA;;;;;LOSS;OK;;16;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;27;;GAIN;;AJUSTE;;CANAL DO MEIO;;VENDA;;;;;OK;;;17;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
